geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig
V; 5 t/m  9 jaar;MAASTRICHT;2046;2001.39;977507.7;85846.3;0;147432.68;50685.04;33495.7;91592.92;48313.49;283017.82;55227.54;411347.61;1322.56;10561.43;0;0;0;0;16551.77;0;0;0;101618.51;0;0;393.01;82322.96
V; 5 t/m  9 jaar;MEDEMBLIK;1160;1151.63;264871.71;33455.67;0;81828.39;21975.56;1554.97;50925.26;25361.15;230902.88;33068.74;78594.45;0;1478.64;0;0;0;0;198.36;0;0;0;0;0;0;544;16525.99
V; 5 t/m  9 jaar;MEERSSEN;364;361.61;100346.61;10406.6;0;25214.52;8448.73;5204.85;14078.68;13109.22;51222.12;5268.61;55728.78;0;0;0;0;0;0;1060.85;0;0;0;0;0;0;0;4691.47
V; 5 t/m  9 jaar;MEIERIJSTAD;2070;2060.82;943393.62;74959.85;0;144806.06;43728.12;2996;90739.87;65787.91;328158.99;53904.18;172539.62;1262.24;5729.58;0;0;0;0;530.66;0;0;0;268091.31;0;0;258.2;73132.14
V; 5 t/m  9 jaar;MEPPEL;873;862.04;762147.94;41659.54;0;61144.99;17663.87;12934.36;54350.74;55426.57;124217.13;29541.07;81793.91;7307.52;5893.24;0;0;0;0;1985.5;0;0;0;13348.04;0;0;216.4;14673
V; 5 t/m  9 jaar;MIDDELBURG;1296;1289.04;364663.86;48395.72;0;92135.82;23486.5;347.26;66056.21;31581.79;171270.05;40097.02;110613.46;423.2;1381.99;0;0;0;0;2469.19;0;0;0;62.04;0;0;406.48;45301.91
V; 5 t/m  9 jaar;MIDDEN-DELFLAND;561;559.49;179772.76;14760.37;0;38204.34;379.6;1526.29;56483.47;16678.44;90847.76;18138.56;24124.13;0;779.29;0;0;0;0;516.54;0;0;0;3646.5;0;0;2434.74;34421.33
V; 5 t/m  9 jaar;MIDDEN-DRENTHE;731;726.48;460663.72;19384.39;0;50337.46;13797.47;10965.12;38063.74;31936.96;97274.3;11572.1;48127.54;0;2613.81;0;0;0;0;3345;0;0;0;13509.6;0;0;0;6299.76
V; 5 t/m  9 jaar;MIDDEN-GRONINGEN;1421;1410.89;380975.42;53114.75;0;101623.88;32150.66;1209.43;76189.27;18990.34;188447.81;46680.81;151716.62;544.9;3175.35;0;0;0;0;1256.15;0;0;0;4197.24;0;0;111.88;98388.15
V; 5 t/m  9 jaar;MOERDIJK;820;815.35;275554.71;34267.33;0;56663.48;16678.86;230.52;36335.89;35390.03;136407.15;30056.83;52500.78;1440.8;2701.41;0;0;0;0;1590.45;0;0;0;3763.16;0;0;986.7;33583.54
V; 5 t/m  9 jaar;MOLENLANDEN;1245;1238.53;334129.83;56105.62;0;86572.5;21262.64;37959.93;43408.53;61111.73;187871.05;19937.14;73537.58;0;3432.52;0;0;0;0;736.79;0;0;0;27270.68;0;0;365.83;37519.93
V; 5 t/m  9 jaar;MONTFERLAND;738;730.3;246603.36;43353.62;0;51261.48;11931.46;16980.43;38408.95;11966.74;113378.17;20628.84;82944.75;0;0;0;0;0;0;1152.21;0;0;0;1181.8;0;0;59.22;12142.25
V; 5 t/m  9 jaar;MONTFOORT;388;385.89;51785.94;11427.98;0;27202.76;7451.67;4090.05;21314.17;4192.71;59183.21;8602.17;36825.17;0;0;0;0;0;0;66.49;0;0;0;0;0;0;0;3692.73
V; 5 t/m  9 jaar;MOOK EN MIDDELAAR;137;135.69;43438.79;3194.79;0;9423.3;3122.22;1349.4;6180.65;1642.91;13484.48;3518.74;10716.45;0;774.91;0;0;0;0;78.61;0;0;0;0;0;0;0;2145.3
V; 5 t/m  9 jaar;NEDER-BETUWE;755;750.66;844823.95;173380.98;0;52431.8;14055.45;1656.88;36145.42;20899.5;92494.75;15689.73;64386.57;1987.5;4236.7;0;0;0;0;85.61;0;0;0;36773.94;0;0;197.72;13798.13
V; 5 t/m  9 jaar;NEDERWEERT;395;390.93;97366.06;17628.28;0;27245.84;8179.07;651.19;17799.5;14432.67;51329.67;17799.77;50489.25;3216.8;788.05;0;0;0;0;314.84;0;0;0;10103.13;0;0;0;44115.68
V; 5 t/m  9 jaar;NIEUWEGEIN;1560;1546.15;610330.53;65140.89;0;109788.23;30887.17;38747.02;92959.37;64359.68;283371.44;62802.81;147753.09;60;10065.98;0;0;0;0;1281.99;0;0;0;0;0;0;210.02;74828.85
V; 5 t/m  9 jaar;NIEUWKOOP;707;704.6;207420.22;21343.56;0;49315.62;13591.58;7940.65;43438.53;33513.67;117325.82;9927.74;56048.06;0;827.47;0;0;0;0;163;0;0;0;27605.29;0;0;251.57;10841.43
V; 5 t/m  9 jaar;NIJKERK;1339;1325.49;583273.36;66218.85;0;93153.68;24887.89;23873.24;78653.08;85696.21;209462.98;24484.93;120546.71;179.28;2508.69;0;0;0;0;2767.66;0;0;0;48412.49;0;0;857.51;46659.28
V; 5 t/m  9 jaar;NIJMEGEN;3847;3820.15;1646082.27;175229.25;0;282633.56;77390.35;31702.7;182081.58;90271.12;686538.56;75769.22;380240.06;3700.96;20518.08;0;0;0;0;9323.65;0;0;0;62200.67;0;0;0;123846.08
V; 5 t/m  9 jaar;NISSEWAARD;2270;2254.97;865995.52;268007.93;0;160191.82;49178.75;1517.83;126071.49;74482.13;377784.93;62387.3;183502.69;0;13909.17;0;0;0;0;631.04;0;0;0;154802.92;4538.78;0;2554.44;38335.08
V; 5 t/m  9 jaar;NOARDEAST-FRYSLAN;1264;1255.89;575545.95;40997.79;0;88528.2;21636.45;17.26;73438.89;41989.84;184787.4;21693.38;66846.88;105.12;4206.04;0;0;0;0;381.21;0;0;0;20785.06;0;0;270.99;59220.95
V; 5 t/m  9 jaar;NOORD-BEVELAND;165;163.23;230419.3;9406.23;0;11084.97;2312.72;2.92;8162.12;3694.27;25039.45;5200.92;9461.75;788.96;0;0;0;0;0;0;0;0;0;19315.25;0;0;0;2721.66
V; 5 t/m  9 jaar;NOORDENVELD;745;739.65;232165.21;182825.83;0;52205.7;12843.01;2087.27;34823.93;16390.41;97215.63;15476.09;55198.84;0;4687.49;0;0;0;0;195.15;0;0;0;2370.96;0;0;0;43196.11
V; 5 t/m  9 jaar;NOORDOOSTPOLDER;1372;1354.11;428341.46;61948.05;0;94865.12;20783.87;793.91;78709.2;47641.34;225423.7;31410.83;91152.84;3945.52;3677.8;0;0;0;0;998.84;0;0;0;87174.72;0;0;833.23;38778.25
V; 5 t/m  9 jaar;NOORDWIJK;1027;1019.58;220924.91;31917.24;0;72198.64;17694.32;20363.34;70482.2;23938.64;187034.63;33900.51;62291.36;583.2;3697.96;0;0;0;0;844.63;0;0;0;89836.74;335.88;0;450.6;45504.12
V; 5 t/m  9 jaar;NUENEN CA;579;577.05;168313.49;18048.81;0;40186.78;12452.1;9230.17;16095.36;21686.64;64745.04;8049.3;38135.22;0;1974.68;0;0;0;0;529.97;0;0;0;0;0;0;0;14018.81
V; 5 t/m  9 jaar;NUNSPEET;794;790.25;296065.54;32252.06;0;55654.09;16151.49;30166.3;39744.3;37453.07;110379.03;13247.97;81911.89;0;1725.02;0;0;0;0;50;0;0;0;47853.29;0;0;217.62;24422.99
V; 5 t/m  9 jaar;OEGSTGEEST;823;817.63;246568.6;32949.63;0;57374.79;15043.13;14974.75;49175.43;16371.81;123145.81;19426.65;31034.22;0;1307.53;0;0;0;0;1235.79;0;0;0;17846.53;0;0;138.66;7130.2
V; 5 t/m  9 jaar;OIRSCHOT;456;450.88;119413.14;11511.19;0;31393.08;9680.71;6705.02;10576.65;14210.12;78617.19;8695.44;51664.2;816.96;1160.35;0;0;0;0;55.84;0;0;0;0;0;0;0;4095.42
V; 5 t/m  9 jaar;OISTERWIJK;684;681.15;145113.59;19308.57;0;47520.82;13770.7;1417.61;28988.31;5707.12;91061.68;10730.17;25607.83;0;0;0;0;0;0;2941.06;0;0;0;0;0;0;201.81;24874.92
V; 5 t/m  9 jaar;OLDAMBT;814;810.54;312435.05;37526.53;0;45102.4;13845.52;11790.23;71208.87;62531.07;120609.8;30334.51;64563.33;0;954.49;0;0;0;0;102;0;0;0;6218.59;0;0;68.41;27225.56
V; 5 t/m  9 jaar;OLDEBROEK;662;659.85;782904.25;43069.95;0;37388.43;9093.24;6495.61;50806.86;13213.86;117157.01;10273.68;52334.27;2206.4;12929.52;0;0;0;0;76.95;0;0;0;197327.91;0;0;0;9020.49
