GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_OVERIG
M;55 t/m 59 jaar;MAASDRIEL;931;926.04;1562311.76;296059.18;133223.32;51409.6;29850.87;29810.3;133331.64;39477.32;32250.42;409.08;15299.41;35054.87;0;0;3528.5;7206.14;3.44;17028.81
M;55 t/m 59 jaar;MAASGOUW;1055;1049.04;1204363.18;453071.5;106110.86;56369.13;39656.02;33754.54;118378.01;52385.8;43623.53;2141.88;10956.83;22109.94;0;0;4154.2;25538.59;1.72;40156.12
M;55 t/m 59 jaar;MAASSLUIS;1030;1024.73;1485326.46;350799.4;224159.93;56312.28;32278.16;39146.54;92058.36;54165.27;9684.73;786.05;4762.76;36615.92;0;0;2788.6;39176.41;5.16;19237.31
M;55 t/m 59 jaar;MAASTRICHT;3964;3928.68;6174236.87;1630160.55;942631.11;215954.9;179829.2;137787.81;427430.51;164648.11;149403.52;18654.96;19786.86;70817.23;0;0;16587.6;163754.66;10.75;265542.85
M;55 t/m 59 jaar;MEDEMBLIK;1614;1608.95;1935117.72;388108.32;199272.17;87561.09;55320.83;51729.4;140311.93;65950.24;17793.98;2072.65;3312.38;41143.72;0;0;5418.8;14732.17;32.68;36942.34
M;55 t/m 59 jaar;MEERSSEN;787;780.04;791901.57;302236.13;80750.17;43438.6;33042.37;26671.27;106087.73;35366.74;39160.69;2049.62;4299.8;16212.47;0;0;3514;39964.88;1.72;51929.51
M;55 t/m 59 jaar;MEIERIJSTAD;2916;2898.81;4099687.32;803188.74;211742.47;159428.09;101350.51;89388.47;318133.2;145821.08;68239.95;5564.44;25894.53;50391;0;0;8493.25;14011.76;10.32;60489.26
M;55 t/m 59 jaar;MEPPEL;1095;1088.82;1821863.68;382456.97;159899.51;59889.39;37086.79;49768.18;143188;47721.29;35020.45;1761.99;26788.86;34427.38;0;0;3763.2;4056.36;45.58;29404.06
M;55 t/m 59 jaar;MIDDELBURG;1578;1570.89;1459223.31;452258.64;177251.43;86142.88;44014.88;54294.91;135449.74;38800.04;17748.74;2619.89;37105.86;47632.9;0;0;1379.5;54454.17;6.88;66834.16
M;55 t/m 59 jaar;MIDDEN-DELFLAND;668;667.02;850333.89;123358.4;32084.55;37175.2;18609.71;18039.12;27613.7;11594.42;5602.96;1140.14;1334.55;12956.04;0;0;2357;14623.1;11.18;3510.96
M;55 t/m 59 jaar;MIDDEN-DRENTHE;1256;1250.14;1605880.85;356462.95;282398.13;68849.92;35350.42;54157.88;128763.55;61077.92;29258.19;4477.77;24841.1;31721.12;0;0;5053.65;1534.33;46.44;29539.21
M;55 t/m 59 jaar;MIDDEN-GRONINGEN;2293;2281.53;3525794.98;788928.33;319309.24;126113.67;75222.78;99991.98;255499.02;70019.19;34687.82;2627.56;12553.38;93237.03;0;0;5108.2;19539.19;78.69;85071.76
M;55 t/m 59 jaar;MILL EN SINT HUBERT;453;450.74;593663.33;145114.12;24175.8;24335.74;14386.91;12924.54;30954.93;10707.38;8762.98;590.41;16185.17;9716.14;0;0;1235;1148.18;0;8894.98
M;55 t/m 59 jaar;MOERDIJK;1332;1317.27;1548899.88;506103.32;130626.94;72825.61;44534.43;35481.79;150866.49;106217.22;37959.83;1459.64;13000.21;34771.83;0;0;2438.75;14528.51;3.87;61988.49
M;55 t/m 59 jaar;MOLENLANDEN;1413;1405.73;1806553.04;416028.81;83155.77;78178.92;47991.09;37407.91;142608.96;30884.3;28128.97;1254.96;8267.7;44632.22;0;0;7564.5;8283.43;3.44;54446.8
M;55 t/m 59 jaar;MONTFERLAND;1307;1300.97;1772668.14;332408.45;47496.44;71166.28;39418.86;42632.73;177586.71;52586.88;27625.73;174.48;28711.08;39850.75;0;0;3875.2;7995.64;8.6;36298.58
M;55 t/m 59 jaar;MONTFOORT;396;394.92;544695.58;100341.06;5342.39;21974.81;10661.89;12093.07;34184.76;12592.95;11154.62;2018.49;5557.8;10235.71;0;0;1222.5;407.12;6.88;8372.4
M;55 t/m 59 jaar;MOOK EN MIDDELAAR;284;282.11;305726.22;55789.33;5045.36;15618.82;7761.52;7731.08;15991.04;8970.67;6668.18;44.1;0;4167.54;0;0;873;15874.32;3.01;6171.44
M;55 t/m 59 jaar;NEDER-BETUWE;684;678.43;884284.2;261580.89;37523.32;37593.27;30712.4;40440.17;62277.99;19198.59;9969.6;454.27;6089.94;32285.55;0;0;4872.1;3440.98;8.6;46293.61
M;55 t/m 59 jaar;NEDERWEERT;660;658.12;1040017.68;179153.55;84144.75;36755.07;25211.47;29551.9;78032.16;34863.48;35637.64;1547.78;30892.41;28329.59;0;0;3470;6666.33;0;38290.73
M;55 t/m 59 jaar;NIEUWEGEIN;2247;2235.79;2829158.06;738259.17;339636.82;123174.17;71167.02;88729.88;221918.09;84922.36;51140.96;6238.88;19003.59;64656.63;0;0;14165;9851.97;21.93;84425.27
M;55 t/m 59 jaar;NIEUWKOOP;1028;1026.39;1381009.45;321068.88;114296.91;54399.18;30321.75;38049.96;106709.73;26730.57;8028.57;682.64;3738.8;35340.47;0;0;3471.95;5547.81;0;4464.58
M;55 t/m 59 jaar;NIJKERK;1238;1228.28;1655576.52;342478.11;120414.22;68271.86;35069.22;47045.98;88002.03;42634.29;22014.22;1776.78;11824.56;29733.3;0;0;3974.75;6947.07;12.04;54380.06
M;55 t/m 59 jaar;NIJMEGEN;5076;4997.97;6849537.77;1819880.28;1089414.34;273502.52;168337.59;163189.15;490819.64;157720.41;155749.85;16484.38;16100.63;119500.24;0;0;26588.05;67465.26;24.94;152524.98
M;55 t/m 59 jaar;NISSEWAARD;3293;3273.97;4341007.25;1292080.06;625393.57;181866.14;112114.95;99458.71;335454.46;152123.11;43627.39;2955.81;32478.39;116102.44;0;0;5300.5;36292.77;16.77;89499.85
M;55 t/m 59 jaar;NOARDEAST-FRYSLAN;1606;1597.25;1894752.93;487359.67;109922.06;88657.1;44011.03;70039.5;121872.6;49056.24;26462.71;379.12;8226.82;51733.32;0;0;4276.2;5842.06;1860.18;30272.02
M;55 t/m 59 jaar;NOORD-BEVELAND;295;294.01;324120.61;146819.21;22287.78;16219.52;11128.65;9026.05;43147.93;13136.93;6182.55;0;909.6;5392.67;0;0;811.5;18652.82;0;12341.28
M;55 t/m 59 jaar;NOORDENVELD;1204;1198.72;1544619.68;286208.71;68933.69;65843.73;33861.27;40965.98;91874.01;40174.31;13124.61;1235.06;2544.99;47005.53;0;0;3414;953.99;82.56;34206.63
M;55 t/m 59 jaar;NOORDOOSTPOLDER;1579;1569.85;2626391.78;484716.92;110956.64;86702.5;44896.86;57551.47;173047.34;54575.6;25675.57;2527.86;41084.37;65442.17;0;0;3085;15518.31;175.01;24972.91
M;55 t/m 59 jaar;NOORDWIJK;1533;1526.16;1637281.76;415798.28;373996.05;81060.53;42865.95;64566.77;98944.87;29757.11;33594.94;1240.87;1140.43;38817.96;0;0;10461.5;18590.49;13.76;36755.42
M;55 t/m 59 jaar;NUENEN CA;859;854.39;1102509.97;214091.57;34452.31;47233.47;25381.72;16928.19;68314.2;22603.66;13999.25;3829.9;12064.77;9157.07;0;0;2762.5;41376.51;1.72;44495.81
M;55 t/m 59 jaar;NUNSPEET;853;848.95;1273618.16;286585.28;91450.28;46408.34;26030.3;35280.28;101749.91;39858.73;8790.18;2438.76;24345.46;35383.28;0;0;2536;3010.41;10.32;18860.09
M;55 t/m 59 jaar;OEGSTGEEST;778;774.03;1002767.16;256842.99;100861.96;42544.89;22866.91;30511.28;56491.21;4500.18;13982.31;1657.89;6601.7;26730.08;0;0;5799;6429.26;1.72;5017.8
M;55 t/m 59 jaar;OIRSCHOT;734;730.88;916951.23;180424.25;39783.87;40526.97;27790.87;24528.16;79117.97;31355.86;29424.24;1285.08;13615.3;12207.28;0;0;3241;3071.68;5.16;40812.3
M;55 t/m 59 jaar;OISTERWIJK;912;907.91;934251.62;267110.49;76269.77;50180.24;31986.82;28581.46;86764.25;51740.76;23992.29;1362.85;5656.96;14382.28;0;0;5139.5;3223.92;3.44;23923.53
M;55 t/m 59 jaar;OLDAMBT;1493;1486.35;2612948.85;588466.13;184343.72;81964.03;50911.07;56322.28;157087.32;41750.28;36084.66;8530.96;14338.62;72663.25;0;0;4165.2;1781.32;27.52;45828.56
M;55 t/m 59 jaar;OLDEBROEK;805;801.79;1495707.35;235428.11;39570.8;44424.6;25906.98;29056.55;86939.13;27458.91;26160.23;1351.02;16561.5;29463.27;0;0;3566;764.14;8.6;21833.03
M;55 t/m 59 jaar;OLDENZAAL;1077;1070;1807709.07;338527.16;229132.62;59029.84;35382.17;55443.98;109049.09;27927.51;20657.08;658.14;10598.54;33226.12;0;0;2574;11669.29;5.16;34148.85
M;55 t/m 59 jaar;OLST-WIJHE;707;704.17;825936.96;182505.1;145791.02;38836.6;19608.84;23070.38;70224.72;22620.48;24411.92;1013.8;5865.78;20987.62;0;0;2425.6;980.96;8.6;11592.24
