geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
M;90+;BERGEN OP ZOOM;205;180.78;724857.71;177673.77;30715.39;40501.87;9642.77;19296.4;87001.66;5723.99;9379;7592.67;130.5;65333.06;0;0;0;0;132834.92;62493.87;549715.42;1658.19;0;0;4929.16;8717.61;25007.74;6374.87
M;90+;BERKELLAND;143;125.58;444535.3;126238.57;23355.28;27630.38;17538.74;30972.96;64518.83;3323.93;7945.36;8466.77;0;24781.04;0;0;120.31;0;77459.32;52465.99;487731.45;1379.34;0;0;5007.5;709.71;0;518.93
M;90+;BERNHEZE;114;103.9;274439.04;114623.01;17320.83;27966.7;6851.77;16926.49;46105.34;1395.95;3161.68;5126.57;0;35980.39;0;0;5188.77;0;42239.06;10143.6;238663.22;2179.16;0;0;2223.26;172.61;0;0
M;90+;BEST;81;73.13;362106.4;100942.13;13446.67;13788.35;29904.94;10908.09;32551.2;7230.56;2850.55;3799.24;0;19718.86;0;0;0;0;60971.61;1960.4;240708.99;389.11;0;0;2764.5;0;0;0
M;90+;BEUNINGEN;61;52.55;178806.43;56459.83;9230.36;15465.34;6545.19;8561.19;26697.16;3295.76;1404.79;1850.56;188.1;17654.66;0;0;0;0;82403.84;10543.21;151797.95;78.84;0;0;887.55;1732.71;0;0
M;90+;BEVERWIJK;127;115.54;435889.67;105075;19987.47;21535.9;7758.78;14811.41;50187.78;11636.34;6678.83;2908.06;32;32448.2;0;0;0;0;110789.13;61609.94;220565.75;273.69;0;0;5844.56;3629.87;0;0
M;90+;BLADEL;70;61.07;320570.54;71392.09;11178.13;17876.24;16618.7;12960.16;32363.9;1377.84;3485.38;5007.29;9104.64;22404.7;0;0;0;0;12115.2;13133.48;242673.66;0;0;0;4814.32;0;0;0
M;90+;BLARICUM;46;41.68;129435.44;30610.66;6991.63;6793.24;2662.08;9773.37;16699.59;1373.79;3343.68;1529.2;0;9994.02;0;0;0;0;21908.12;15834.69;86340.83;664.38;0;0;1690.55;0;0;0
M;90+;BLOEMENDAAL;193;173.06;584985.53;155786.17;28535.22;39542.73;11664.9;24830.95;97876.42;1777.03;24892.91;9524.63;1345.96;31573.88;0;0;0;0;148034.28;34566.24;395901.1;4283.4;0;0;4008.84;0;0;1577.85
M;90+;BODEGRAVEN-REEUWIJK;114;102.78;347771.02;82410.71;19361.46;23172.25;10092.6;19911.81;37402.61;3054.35;10599.66;1381.6;0;18125.72;0;0;0;0;4400.51;17441.75;229592.87;40.53;0;0;2521.54;818.16;0;0
