GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
V;30 t/m 34 jaar;LOSSER;555;552.46;682983.93;74833.49;186861.83;32378.4;20368.43;2260.51;27758.62;10378.4;4466.97;2559.55;2327.24;3105.84;6243.31;166022.57;104012.16;19501.51;0;2210;5.64;0;985.18;542.26
V;30 t/m 34 jaar;MAASDRIEL;661;655.45;859780.98;101901.95;167275.35;38479.33;29417.56;2037.03;28299.88;18437.34;784.19;5673.55;3376.85;1088.48;11371.63;190774.52;110842.22;14340.07;0;5674.72;15.04;0;13966.01;533.05
V;30 t/m 34 jaar;MAASGOUW;544;538.07;731396.54;82017.77;58164.07;31107.05;27179.8;1302.52;24221.04;17589.87;3786.26;6375.7;3380.19;2543.2;3319.15;142152.92;61306.02;22579.61;0;8986.15;5.64;0;188.8;476.13
V;30 t/m 34 jaar;MAASSLUIS;949;941.22;1102174.73;127003.32;249386.67;55366.54;2679.27;4866.31;81153.06;78629.93;6776.62;19810.05;7047.04;580.8;18029.31;233610.69;156367.06;29272.08;0;14081.79;9.4;0;7088.4;7934.66
V;30 t/m 34 jaar;MAASTRICHT;3109;3017.38;3559110.06;429509.48;1082963.49;173804.64;159981.45;14535.68;150090.44;92911.63;22758.81;50810.87;18448.16;1156;40959.5;584554.76;370113.3;67557.02;97633.15;117704.51;38.54;0;46065.45;16168.6
V;30 t/m 34 jaar;MEDEMBLIK;1131;1122.15;890712.13;136850;141392.94;65414.78;49326.36;3434.41;54499.52;34501.93;2121.86;5916.15;5844.31;1096.75;18156.88;353720.59;70945.08;38471.54;0;3224.21;51.23;0;11095.32;473220.64
V;30 t/m 34 jaar;MEERSSEN;372;368.62;451794.7;32351.62;85701.52;21749.24;20822.32;1275.96;19082.56;7834.44;1357.84;496.5;2839.38;212.62;4748.52;110451.87;60163.65;11845.22;0;12638.65;3.29;0;92;678.78
V;30 t/m 34 jaar;MEIERIJSTAD;2186;2167.83;2764290.46;344388.37;857022.83;127496.09;111281.8;4117.5;90743.34;69740.25;8458.13;18069.5;11442.19;8938.21;28429.77;674461.77;416690.83;66773.62;6692.22;12246.14;28.2;0;26555.95;54659.65
V;30 t/m 34 jaar;MEPPEL;949;946.28;1243082.8;136113.63;240666.3;55003.05;50556.9;3982.75;57098.12;36725.5;4625.81;7042.41;7460.43;6384.82;23448.09;258114.51;197003.14;37433.55;0;6952.39;59.22;0;10005.09;1927.14
V;30 t/m 34 jaar;MIDDELBURG;1293;1285.19;1513786.77;139813.46;402130.86;75786.14;63442.23;3867.42;57279.41;45552.05;4769.85;20655.5;3768.48;8931.38;29573.52;281380.28;200244.2;41300.99;0;74476.71;10.81;0;6556.29;461.14
V;30 t/m 34 jaar;MIDDEN-DELFLAND;525;522.33;685522.65;58045.61;55105.01;30826.16;3474.89;2909.6;42158.98;32897.39;193.19;11320.15;3870.68;2380.16;3586.95;181358.14;105959.1;14827.65;0;7424.97;9.4;0;33500.61;2293.65
V;30 t/m 34 jaar;MIDDEN-DRENTHE;749;743.68;1035826.44;71070.75;136227.43;43955.69;34130.02;3953.74;40559.61;40771.61;4695.3;719.85;1075.07;15018.4;17661.75;213351.72;142222.91;27749.96;97351.76;439.64;67.68;0;1329.73;467.72
V;30 t/m 34 jaar;MIDDEN-GRONINGEN;1507;1493.2;1624478.41;225790.77;386160.41;88360.73;79601.4;11034.88;87089.97;57954.67;11841.8;7155.27;7823.77;544.45;30694.79;335108.77;227362.56;52617.68;0;11441.94;63.92;0;68552.88;3304.8
V;30 t/m 34 jaar;MILL EN SINT HUBERT;200;199.62;268920.29;54443.24;120483.78;11812.12;8901.84;651.4;7678.35;14609.11;5299.26;38.3;1982.18;1682.2;2304.27;81026.67;38138.92;5444.29;0;235.79;1.88;0;0;278.26
V;30 t/m 34 jaar;MOERDIJK;955;943.57;986952.17;105521.46;173099.89;55709.56;43263.9;13753.86;34994.86;14555.61;11104.02;8602.9;4619.06;0;17657.46;166833.46;36501.92;25759.03;0;33521.23;9.4;0;520.77;330308.98
V;30 t/m 34 jaar;MOLENLANDEN;1069;1063.42;1185628.19;145837.36;519710.89;62765.63;52268.39;4695.95;41558.57;41006.31;7784.05;18121.05;5066.19;8985.04;10413.96;319304.32;200219.08;22717.54;0;1181.04;15.04;0;5070.35;4332.3
V;30 t/m 34 jaar;MONTFERLAND;766;758.26;1011585.28;87960.24;119488.28;44886.74;34429.68;7627.97;39692.11;32071.73;5754.47;1868.65;6664.91;2383.92;7840.8;235117.22;167546.99;14581.04;0;3937.48;14.57;0;241.43;2563.65
V;30 t/m 34 jaar;MONTFOORT;340;337.29;455440.54;44007.93;77066.89;20071.61;16317.21;259.88;19223.79;7500.87;0;997.3;848.29;42.8;5176.01;79955.87;59640.58;14232.28;0;1933.54;7.52;0;0;736.98
V;30 t/m 34 jaar;MOOK EN MIDDELAAR;124;121.19;223316.37;15094.41;52423.96;7110.27;5743.91;942.21;5247.8;2889.96;0;0;1767.3;4946.36;2195.07;39287.95;26813.2;5842.46;0;0;1.88;0;0;672
V;30 t/m 34 jaar;NEDER-BETUWE;566;563.6;550220.23;91687.98;189700.01;33202.85;28384.17;2191.36;34250.74;29398.12;2980.57;6968;3914.41;247.2;12362.44;156814.49;120472.8;15924.19;0;4670.86;7.52;0;8979.84;1840.11
V;30 t/m 34 jaar;NEDERWEERT;392;388.03;555864.57;32113.46;47232;22859.75;17344.52;1133.06;14955.46;13136.25;441.75;6630.65;3008.4;259.72;6627.9;114105.45;71306.62;6570.61;0;13060.95;5.64;0;537.03;98.91
V;30 t/m 34 jaar;NIEUWEGEIN;1962;1941.27;2541319.24;362923.22;629163.45;115098.88;91415.34;39143.72;94339.43;74085.59;7374.46;11771.1;11075.1;737.74;20627.09;484803.83;288346.06;101088.12;0;17573.09;58.28;0;30863.68;15439.38
V;30 t/m 34 jaar;NIEUWKOOP;742;738.16;907324.77;86598.13;55619.6;43461.02;33507.55;6702.18;39458.03;37144.84;1103.92;3189.5;3484.25;450.8;12158.81;239867.32;147917.05;18332.96;0;805.63;18.33;0;682;542.69
V;30 t/m 34 jaar;NIJKERK;1298;1282.27;1610385.46;259947.8;298842.05;75285.73;59358.61;32962.92;62879.28;53707.17;6267.07;11236.15;6358.7;6924.81;18778.24;359281.99;263154.28;43063.02;0;2570.59;45.12;0;1095.87;22596.1
V;30 t/m 34 jaar;NIJMEGEN;6001;5915.92;6915452.98;889379.39;2361832.29;347221.19;271557.45;34386.26;266965;207094.64;43982.95;65478.23;32600.87;33463.46;74379.21;1423383.08;1038339.09;262559.44;147524.49;30222.19;164.97;0;55670.83;40506.4
V;30 t/m 34 jaar;NISSEWAARD;2786;2761.21;3740472.51;543869.82;772118.75;163629.49;143358.75;12803.52;122233.75;97806.26;14722.87;11597.95;13978.69;14130.07;53257.16;515553.34;303070.01;90058.86;0;12150.12;35.25;0;26253.41;26865.62
V;30 t/m 34 jaar;NOARDEAST-FRYSLAN;1179;1174.29;1500466.46;208861.95;342170.87;69755.15;56747.01;3070.99;76122.48;88298.21;16149.55;7852.2;6308.26;9713.96;25780.54;297158.56;236804.21;18961.88;0;12211.61;1407.18;0;1461.06;650.03
V;30 t/m 34 jaar;NOORD-BEVELAND;147;143.99;295108.14;16995.86;81849.6;8514.32;7764.94;368.92;6804.24;4415.41;0;325;209.8;3760.74;2876.06;41326.98;24670.41;1237.56;0;27521.75;5.64;0;0;82.41
V;30 t/m 34 jaar;NOORDENVELD;704;698.4;948342;76908.64;175631.07;41415.74;31278.71;4892.58;31745.45;20266.68;8360.75;2004.15;2927.85;3588.92;16450.57;225490.48;170794.48;24141.83;0;357.05;97.76;0;3327.75;11159.29
V;30 t/m 34 jaar;NOORDOOSTPOLDER;1392;1382.54;1669478.26;133574.88;277447.45;79901.71;55990.86;1670.3;62325.9;41149.07;8319.02;16302.01;7753.43;11357.68;26478.39;339328.67;267773.26;21970.1;0;36671.3;180.48;0;24282.59;6955.39
