geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_z;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysioth;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiez;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
V;25 t/m 29 jaar;BEST;880;853.03;1125664.39;104251.38;63467.3;62867.74;14711.29;52550.89;68881.98;10992.34;17373.61;9756.01;3019.12;5897.42;138127.09;127744.05;6593.94;0;0;0;3212.46;0;2479.07;0;2931.4;358501.07;608.73;4095.94
V;25 t/m 29 jaar;BEUNINGEN;621;616.02;791542.3;62797.98;46260.44;43305.02;11199.93;43703.66;25562;2021.58;10722.56;4556.94;0;3528.81;123435.44;134701.6;57278.4;0;0;0;1258.2;8429.09;0;0;303.75;257658.73;8614.81;3712.4
V;25 t/m 29 jaar;BEVERWIJK;1401;1370.75;1257199.93;171828.9;104213.74;90095.61;39621.25;116048.66;36689;4228.19;25664.6;16612.98;638.32;22289.5;121550.41;68832.96;22464.01;0;0;0;1053;1415.1;973817.35;0;713.44;775402.03;276743.6;18244.88
V;25 t/m 29 jaar;BLADEL;544;535.87;610490.41;120601.49;39325.11;33660.08;8512.92;31330.33;37665.29;0;11538.98;6600.44;1050.3;6078.09;109522.33;72905.59;11160.43;0;0;0;3070.4;0;639.76;0;115.17;338616.56;106013.37;7411.91
V;25 t/m 29 jaar;BLARICUM;169;160.12;125774.67;19099.3;11327.77;10772.17;4094.7;12873.24;2802.58;0;0;1514.93;0;1805.46;30417.02;16294.47;1108.92;0;0;0;0;0;36345.02;0;0;60156.9;0;626.27
V;25 t/m 29 jaar;BLOEMENDAAL;266;247.87;174649.83;29522.11;17963.4;15994.05;6073.52;18238.32;5299.72;2578.37;2233.56;1672.85;896.36;2645.4;19180.71;19735.46;1864.72;0;0;0;0;0;0;0;181.33;190084.52;123461.15;5505.84
V;25 t/m 29 jaar;BODEGRAVEN-REEUWIJK;986;977.46;1116788.5;146279.45;70353.5;50481.06;17547.55;79285.99;61618.2;2919.77;4126.05;10166.79;3911.96;15027.63;325701.49;237744.4;7957.56;0;0;0;14021.74;0;0;0;976.26;408959.67;45061.57;4700.6
V;25 t/m 29 jaar;BOEKEL;337;332.33;352283.64;25481.42;24417.45;23103.3;4316.97;25422.38;3078.92;876.81;2546.83;7288.59;0;5071.97;103783.41;75074.78;1222.64;0;0;0;0;0;0;0;321.32;91002.4;0;212.9
V;25 t/m 29 jaar;BORGER-ODOORN;539;535.98;849898.72;71876.88;39897.64;39248.22;17222.8;37542.58;15423.62;919;5761.72;5640.46;4878.64;14432.45;169474.15;153067.68;261.6;0;0;0;0;0;0;0;0;379651.87;133675.93;52934.41
V;25 t/m 29 jaar;BORNE;574;569.28;709767.56;68460.61;42262.15;35782.24;8647.08;44165.87;30264.87;5894.25;14768.95;9113.82;1140.04;8759.36;102636.17;85487.71;1683.54;0;0;0;685.75;0;0;0;506.84;272459.98;16887.96;1983.47
V;25 t/m 29 jaar;BORSELE;560;550.6;789138.67;71269.01;40737.56;35768.97;12383.88;46011.9;58441.41;3033.64;10414.13;6086.05;4395.77;25145.94;166559.62;139519.47;30896.03;0;0;0;29274.12;1555.74;0;0;1111.92;317710.85;102075.02;16297.78
V;25 t/m 29 jaar;BOXTEL;857;844.38;958961.9;109091.76;63839.27;66953.34;11826.66;59289.08;51516.51;5790.29;19602.23;8451.17;19325.12;6843.62;121052.07;148857.75;12654.9;0;0;0;24507.12;15283.35;1896.99;0;827.78;575561.7;11908.71;5845.12
V;25 t/m 29 jaar;BREDA;6975;6805.65;4901696.24;767001.13;508484.91;406421.35;206491.31;432625.57;302878.33;51804.22;102547.08;67221.1;38509.02;108028.22;610410.63;16772.38;171362.48;0;0;0;123302.77;29714.58;2170089.73;0;13072.93;3976390.25;315427.88;82808.13
V;25 t/m 29 jaar;BRONCKHORST;662;658.52;760671.8;118807.67;48909.59;44150.89;9749.49;49044.17;54818.22;3022.34;19529.49;11960.37;2384.72;7331.93;107214.4;110442.74;336.55;0;0;0;2231.59;9181.19;1765.67;0;3006.03;293964.91;38971.27;0
V;25 t/m 29 jaar;BRUMMEN;501;497.93;952937.7;55065.13;36996.25;31169.49;12294.08;45509.49;23723.51;10377.52;10111.65;10602.5;2432.7;11565.44;128309.68;84581.23;576.22;0;0;0;1141.68;0;30238.95;0;1661.22;293007.49;87751.5;1186.67
