GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_EERSTELIJNSVERBLIJF;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;30 t/m 34 jaar;APELDOORN;4667;4601.61;2101725.05;922475.97;1737817.1;275046.2;106500.18;22488.07;197098.67;85355.06;42856.55;22947.6;7976.6;1869.92;40188.77;0;0;77800.25;76885.84;15029.66;97.29;0;0;33099.92;42690.14
M;30 t/m 34 jaar;APPINGEDAM;298;295.62;176198.17;36738.16;106251.93;17776.22;8025.91;6460.85;15079.28;14870.33;2073.12;875;510.18;0;6091.99;0;0;6305.98;0;28.19;9.4;0;0;4782.82;0
M;30 t/m 34 jaar;ARNHEM;5664;5571.97;2720047.24;753288.41;2280863.05;319667.23;134686.22;46333.03;290456.33;170531.06;37968.83;33184.55;9565.3;1775.38;75933.21;0;0;114089.61;209689.62;39273.65;139.12;0;0;102382.36;30145.57
M;30 t/m 34 jaar;ASSEN;1899;1868.59;1140443.29;197772.44;1546588.05;112275.61;48201.88;22953.81;75460.65;42344.42;17666.65;9161.1;3954.59;13449.3;28860.46;0;0;64428.6;475957.38;2339.21;130.66;31533.88;0;36056.38;4859.03
M;30 t/m 34 jaar;ASTEN;470;457.86;164979.06;40228.42;66014.95;26274.03;8970.36;1241.16;12225.5;12028.36;904.75;5100.75;1828.8;4425.2;5181.62;0;0;3015.82;0;1888;3.76;0;0;0;535.36
M;30 t/m 34 jaar;BAARLE-NASSAU;160;154.28;60284.63;17038.87;27904.74;9252.96;3389.41;1873.12;3790.04;6212.06;140.4;4238.4;275.87;0;2314.07;0;0;3201.22;0;129;0;0;0;763.5;51.63
M;30 t/m 34 jaar;BAARN;633;623.48;507523.83;59395.02;92242.82;36129.85;12634.59;1584.31;26116.2;13843.82;4139.95;10193.1;859.12;380.9;12100.7;0;0;10419.35;0;624.28;18.33;0;0;0;2099.47
M;30 t/m 34 jaar;BARENDRECHT;1078;1064.22;615284.12;161714.38;117532.56;64694.99;25074.02;4330.5;36861.51;36956.39;7152.87;3564.35;3554.4;0;13945.76;0;0;17564.92;0;6964.89;15.98;0;0;77864.89;2256.95
M;30 t/m 34 jaar;BARNEVELD;1874;1862.07;757189.85;208288.52;136760.42;115081.89;36704.34;8416.34;79609.43;70583;8711.11;24634.3;3400.53;878.8;20272.87;0;0;13798.44;0;2551.28;24.44;0;0;52719.26;5787.09
M;30 t/m 34 jaar;BEEK;419;413.76;217850.65;58367.03;77055.34;25351.86;11062.16;1491.76;15189.42;8353.82;1350.75;1420;1053.8;0;5991.74;0;0;3838.9;0;6011.48;3.76;0;0;156.16;606.61
M;30 t/m 34 jaar;BEEKDAELEN;867;851.57;413915.65;63902.27;237330.53;51642.07;25041.61;3501.8;36066.81;17958.74;4959.2;11931.5;2259.2;1043.6;11433.59;0;0;13673.58;60400.2;20437.67;1.88;0;0;223.72;8050.87
M;30 t/m 34 jaar;BEEMSTER;242;239.41;168640.77;54902.33;25155.97;14290.73;4626.65;176.37;9450.92;3528.48;576.27;1296.2;262.3;0;4565.07;0;0;198.88;0;6499.47;0;0;0;0;964.63
M;30 t/m 34 jaar;BEESEL;345;341.13;175650.31;23593.36;42176.04;20807.54;8139.43;15542.98;11600.1;12505.65;7875.23;1316.5;701;833.6;3977.89;0;0;198.88;0;515.58;3.76;0;0;0;0
