geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_overig
M; 0 t/m  4 jaar;BERGEN LB;252;226.18;166431.34;23853.22;0;15284.32;928.49;20461.88;23330.64;656.94;5582.43;8587.85;11515.51;1960.24;1992.17;0;0;0;0;0;0;0;0;0;0;41739.01
M; 0 t/m  4 jaar;BERGEN NH;430;388.03;319296.53;11477.5;0;25461.65;9322.54;310.45;21170.11;2873.88;10766.32;4191.11;10157.24;1447.2;7916.81;0;0;0;0;626.62;0;0;0;1467.18;0;2855.88
M; 0 t/m  4 jaar;BERGEN OP ZOOM;1628;1456.68;2307851.95;168148.72;0;101771;40130.92;4539.73;126999.81;60804.71;28070.64;38218.48;80492.89;3139.08;26756.13;0;0;0;0;31459.2;0;0;0;97940.84;0;288019.4
M; 0 t/m  4 jaar;BERKELLAND;829;747.88;683263.74;50285.06;0;48165.84;19324.62;682.4;59274.82;12488.26;15144.72;24923.93;68685.49;4225.08;6232.87;0;0;0;0;1260.39;0;0;0;0;0;97318.4
M; 0 t/m  4 jaar;BERNHEZE;785;695.28;932069.08;70435.04;0;46317.53;23462.17;1319.83;57458.76;9033.21;21659.52;26357.75;34849.1;1489.96;8100.06;0;0;0;0;240.18;0;0;0;7370.4;0;181152.97
M; 0 t/m  4 jaar;BEST;692;612.75;1009365.02;59544.95;0;40474.9;21400.23;3245.15;36221.96;16630.5;11923.79;23367.01;57379.63;4914.24;6407.81;0;0;0;0;184.88;0;0;0;137932.88;0;174460.7
M; 0 t/m  4 jaar;BEUNINGEN;696;624.74;814402.21;70515.59;0;41779.99;19418.87;889.69;60019.03;6534.13;25082.48;33358.56;50912.41;714.42;14548.8;0;0;0;0;302.69;0;0;0;33749.96;0;211759.84
M; 0 t/m  4 jaar;BEVERWIJK;1125;1015.97;1564388.73;110568.88;0;67758.91;27022.17;7502.79;98793.11;20033.97;34820.29;31139.49;42235.45;14897.49;19723.05;0;0;0;0;1056.11;0;0;0;40940.87;0;153970.64
M; 0 t/m  4 jaar;BLADEL;481;430.8;847636.64;58272.39;0;28061.68;12486.23;1139.01;23132.66;14627.51;10391.04;13426.02;20811.87;10445.81;5867.25;0;0;0;0;3579.95;0;0;0;34219.06;0;47026.19
M; 0 t/m  4 jaar;BLARICUM;416;378.15;366503.21;34618.24;0;24835.3;10659.85;1250.74;36129.56;3857.26;5921.91;16059.55;17981.84;0;8281.7;0;0;0;0;330.56;0;0;0;21.78;0;9260.55
M; 0 t/m  4 jaar;BLOEMENDAAL;468;438.1;266397.56;21126.47;0;28948.1;10063.55;6891.45;33403.36;7390.94;11501.16;8820.21;18432.86;728.28;4294.97;0;0;0;0;1648.37;0;0;0;0;0;103409.17
M; 0 t/m  4 jaar;BODEGRAVEN-REEUWIJK;1021;926.43;1398515.67;89972.79;0;62899.1;21001.58;5122.03;66334.81;29153.9;21795.39;42176.87;42323.53;1517.66;18226.9;0;0;0;0;16.49;0;0;0;57715.42;0;72766.3
M; 0 t/m  4 jaar;BOEKEL;275;244.12;295486.01;25340.58;0;15498.38;8117.74;336.61;17000.59;1036.74;11566.9;12808.56;18950.52;607.54;1815.06;0;0;0;0;0;0;0;0;0;0;117419.28
M; 0 t/m  4 jaar;BORGER-ODOORN;507;469.12;612218.19;46755.74;0;31264.4;13271.28;6065.62;40083.76;7342.07;10903;11637.21;14090.58;1081.52;9983.83;0;0;0;0;0;0;0;0;4278.42;0;120842.49
M; 0 t/m  4 jaar;BORNE;650;594.42;839690.09;77276.89;0;38037.21;19824.34;4531.56;54668.52;5448.37;13099.76;27135.54;33382.3;687.92;13547.72;0;0;0;0;142.91;0;0;0;25213.91;0;60969.52
M; 0 t/m  4 jaar;BORSELE;607;544;507819.58;51022.22;0;34668.63;12100.18;130;49834.93;6638.76;14861.64;21198.88;27156.64;4262.94;6522.9;0;0;0;0;2602.03;0;0;0;2575.26;0;117708.83
M; 0 t/m  4 jaar;BOXTEL;756;677.15;1033236.83;51565.41;0;45583.28;25402.96;3996.16;48557.81;34483.46;18035.35;43738.7;66411.23;8315.32;20374.57;0;0;0;0;420.55;0;0;0;103576.46;0;368473.64
M; 0 t/m  4 jaar;BREDA;4373;3933.36;5078540.35;309158.02;0;264681.08;104581.61;1248.53;277252.74;88428.09;138243.69;223273.48;274167.8;16009.9;58337.3;0;0;0;0;39781.05;0;0;0;120263.97;0;1014993.62
M; 0 t/m  4 jaar;BRIELLE;393;348.96;391360.96;27764.67;0;22630.86;10908.03;153.57;26377.82;4305.06;8858.14;14338.12;18910.29;2378;7469.15;0;0;0;0;27;0;0;0;0;0;23014.52
M; 0 t/m  4 jaar;BRONCKHORST;633;568.89;476513.38;34563.85;0;37102.83;12914.35;2032.74;43231.03;7561.12;13157.16;15472.51;28226.52;0;4746.85;0;0;0;0;0;0;0;0;3415.49;0;39926.76
M; 0 t/m  4 jaar;BRUMMEN;429;387.01;629644.25;55215.08;0;24563.6;10985.72;250.39;36115.75;6047.01;7218.39;13500.28;23103.27;3011.91;3480.41;0;0;0;0;0;0;0;0;3900.72;0;76751.3
M; 0 t/m  4 jaar;BRUNSSUM;537;483.17;795173.73;68671.92;0;31777.64;15159.74;1103.3;42670.79;19974.73;24689.26;14905.52;39037.91;16182.69;4890.12;0;0;0;0;35657.62;0;0;0;41107.95;0;141090.86
M; 0 t/m  4 jaar;BUNNIK;427;388.88;373150.63;27643.07;0;25666.06;8660.99;5883.14;31038.13;8388.41;12675.65;9401.24;12810.03;0;2195.21;0;0;0;0;2918.87;0;0;0;14060.36;0;84149.83
M; 0 t/m  4 jaar;BUNSCHOTEN;700;627.39;673128.36;66583.31;0;41522.03;18044.64;2427.28;50474.13;26509.08;21830.2;19933.35;36689.04;2307.8;7212.23;0;0;0;0;115.26;0;0;0;46155.83;0;149869.44
M; 0 t/m  4 jaar;BUREN;608;538.13;1085048.12;61909.73;0;34933.03;14950.82;1728.86;46684.65;10079.7;15950.66;13620.45;27950.82;1128.24;7956.54;0;0;0;0;302.27;0;0;0;43451.97;0;52217.46
M; 0 t/m  4 jaar;CAPELLE AAN DEN IJSSEL;1692;1516.1;1905557.59;103713.69;0;105625.59;38273.68;5456;146253.61;26112.1;42676.84;47271.02;68390.73;12542.73;31280.19;0;0;0;0;1989.58;0;0;0;3619.2;0;90564.69
M; 0 t/m  4 jaar;CASTRICUM;839;753.13;1058029.65;106606.31;0;49238.48;19099.99;528.25;45046.99;20679;13949.04;17972.38;24862.49;1397.68;15732.65;0;0;0;0;55.42;0;0;0;37326.9;0;79375.95
