GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;AMERSFOORT;5272;5236.37;6049195.53;864817.85;1695432.31;292827.55;199814.55;265263.39;200422.08;24179.26;39492.49;19330.02;27728.65;58599.88;1294586.2;1143464.86;60950.83;49558.3;129;0;26738.78
V;30 t/m 34 jaar;AMSTELVEEN;2418;2306.2;2445856.42;282400.65;638865.49;125246.66;74831.72;95590.69;40682.48;5652.76;12677.04;6309.39;3134.1;23256.42;517440.65;457410.5;20026.4;23463.96;29.24;0;29942.83
V;30 t/m 34 jaar;AMSTERDAM;38555;37566.1;37713293.58;5385320.84;13356836.88;2103796.6;1345496.98;1381790.67;817398.45;103132;254977.76;128371.36;49436.6;435432.3;5902301.27;6246129.66;422141.93;624291.17;856.13;0;307571.35
V;30 t/m 34 jaar;APELDOORN;4183;4161.7;5167403.65;1024654.36;1659510.43;232509.84;152254.3;183552.79;196623.36;10758.4;47538.81;18385.4;59622.5;65947.66;968798.2;812003.27;24839.3;16972.88;78.26;0;15560.25
V;30 t/m 34 jaar;APPINGEDAM;279;278.5;481611.3;48065.43;79644.97;15465.95;13169.78;13952.2;14806.07;1312.44;2970.5;772.4;982.96;5370.29;43278.94;41098.87;5409.4;2684.86;6.88;0;5165.86
V;30 t/m 34 jaar;ARNHEM;5741;5697.69;6523679.54;823603.92;1866438.69;318708.06;226929.61;257061.02;214550.85;21136.65;49252.32;28077.4;12234.96;62475.59;1199692.53;953716.9;62608.71;22491.51;114.38;0;50261.07
V;30 t/m 34 jaar;ASSEN;1992;1978.73;2366112.31;391250.54;857116.83;111011.17;79648.26;102090.84;97974.33;21484.46;12534.54;8643.9;38733.06;37382.95;469313.72;335967.91;23765.24;11644.63;159.96;0;23201.01
V;30 t/m 34 jaar;ASTEN;362;357.04;590130.75;44486.15;20372.77;19696.8;13492.12;9205.5;12558.27;239.52;1811.7;1561;1640.86;6042.23;104726.19;66286.81;3265;323.49;0;0;720.63
V;30 t/m 34 jaar;BAARLE-NASSAU;142;141.1;153074;17172.95;14499.83;7853.23;5545.84;3136;7996.98;5193.97;3132.4;618.84;0;2584.56;40331.39;23690.47;2440;5971.35;0;0;322.23
V;30 t/m 34 jaar;BAARN;568;562.22;616347.79;62896.35;220046.04;30928.74;22650.04;22338.27;13207.16;2881.37;9598.77;2204.9;139.5;6413.04;150034.49;130497.27;9522;2313.83;15.05;0;2126.03
V;30 t/m 34 jaar;BARENDRECHT;1375;1364.06;1915151.28;224505.29;253293.4;76222.55;53654.78;48723.38;59925.17;3465.18;3498.88;4221.2;1440.07;17811.98;348038.95;250744.65;4868.5;10523.46;10.32;2917.27;9378.53
V;30 t/m 34 jaar;BARNEVELD;1469;1460.49;1431827.99;211050.41;273951.25;82126.06;51399.52;66158.89;92317.61;2406.68;14805.83;5162.09;4858.48;19127.2;464522.78;350563.8;9538.42;5742.8;20.64;0;11256.08
V;30 t/m 34 jaar;BEEK;360;358.65;488914.29;69458.55;91168.93;19941.7;14476.29;12487.33;9749.62;0;1071.88;1886.12;0;3000.91;87592.92;51731.09;1142.15;11979.34;4.73;0;2312.21
V;30 t/m 34 jaar;BEEKDAELEN;775;766.46;905757.65;108870.39;240927.98;42703.8;31687.25;27475.98;25422.56;1039.49;5881.04;2794.72;432.93;3894.22;156806.45;93372.52;7563.4;20571.76;1.72;0;7120.72
V;30 t/m 34 jaar;BEEMSTER;203;202.47;295442.38;24641.85;21703.37;10827.87;7721.75;10324.78;43862.69;424.8;63.5;145.75;464.8;5029.52;61834.86;40759.94;477;149.32;3.44;0;624.33
V;30 t/m 34 jaar;BEESEL;330;327.06;525839.57;48109.88;70351.83;18253.32;13594.75;13929.01;6778.18;692.37;2782.14;777.45;0;10142.01;82956.36;50023.6;1671.5;2197.67;3.44;0;2526.53
V;30 t/m 34 jaar;BERG EN DAL;696;689.16;929390.7;142660.35;133385.32;38439.23;26248.12;26931.01;37355.53;5593.74;9728.66;1515.75;7374;8081.08;142293.55;107066.36;8459.1;25528.94;5.16;0;5601.18
V;30 t/m 34 jaar;BERGEIJK;417;410.04;505234.52;93028.15;58537.31;22540.59;15726.27;13547.6;11741.12;0;6845.45;2567.81;10974.74;6246.7;103683.96;77398.42;3591.85;13274.43;0.43;0;9306.33
V;30 t/m 34 jaar;BERGEN LB;283;281.24;266051.16;41499.82;42581.53;15725.85;13307.71;12619.65;8392.07;60.36;3873.38;1779.1;0;5448.16;83157.64;51305.47;1801;295.55;1.72;0;683.35
V;30 t/m 34 jaar;BERGEN NH;455;451.58;463889.04;43158.33;84517.82;25001.46;15066.01;11626.39;10853.14;1911.68;2771.79;906.21;0;6200.02;120613.86;69622.51;7250;7018.04;6.02;0;4414.76
V;30 t/m 34 jaar;BERGEN OP ZOOM;1813;1792.63;1977046.82;269219.04;624635.18;99813.3;70709.9;78883.47;67527.9;11854.25;18037.06;5443.28;8262.24;23564.92;390021.78;296911.74;10567.38;57211.47;10.32;0;23644.5
V;30 t/m 34 jaar;BERKELLAND;910;906.21;895239.17;110893.57;245683.07;50860.66;29888.15;40223.27;35404.32;871.62;5958.98;2819.19;0;20031.1;240651.91;181524.85;12759;1857.61;10.32;0;2030.4
V;30 t/m 34 jaar;BERNHEZE;704;699.08;983608.23;107970.77;137404.41;39286.58;27882.78;30682.74;23860.47;10367.21;3374.96;3927.84;20306.56;11390.85;248073.47;157959.54;5373.56;678.75;8.6;0;4769.97
V;30 t/m 34 jaar;BEST;699;695.23;920571.31;102069.88;222582.27;39030.41;29723.41;23931.93;16987.29;2228.74;5004.16;3679.68;2613.34;5031.31;182016.27;108193.13;4089.8;8777.77;6.45;0;24934.9
V;30 t/m 34 jaar;BEUNINGEN;586;582.71;691671.42;74631.17;107260.72;32706.93;24888.73;23212.35;21310.48;279;3712.8;1271.49;0;8640.8;147822.93;119553.92;8669.7;922.52;5.16;0;3301.67
V;30 t/m 34 jaar;BEVERWIJK;1204;1192.33;1335471.05;200254.14;281587.2;65507.74;44148.25;55496.97;22663.51;1663.18;8238.11;3152.43;762.06;17419.05;211020.57;198790.52;9683.27;4327.13;9.89;0;2211.39
V;30 t/m 34 jaar;BLADEL;518;513.44;650701.57;118794.35;112493.03;28274.29;19447.74;19400.12;23338.98;113.63;4310.55;3059.77;7375.03;8868.65;180887.75;107590.47;4766.93;1982.88;1.72;0;12972.5
V;30 t/m 34 jaar;BLARICUM;167;164.64;192494.76;29859.92;69744.5;9211.65;7380.63;8728.53;20700.66;343.38;4935.7;1159.76;0;5586.75;44139.82;37858.99;1011.2;3750.55;6.88;0;1491.99
